Entity,Code,Year,"Livestock Primary - Meat, cattle - 867 - Yield/Carcass Weight - 5417 - hg/An"
Afghanistan,AFG,1961,119.4
Afghanistan,AFG,1962,119.30000000000001
Afghanistan,AFG,1963,119.30000000000001
Afghanistan,AFG,1964,119.4
Afghanistan,AFG,1965,119.4
Afghanistan,AFG,1966,119.4
Afghanistan,AFG,1967,119.5
Afghanistan,AFG,1968,119.30000000000001
Afghanistan,AFG,1969,119.4
Afghanistan,AFG,1970,94.9
Afghanistan,AFG,1971,94.9
Afghanistan,AFG,1972,94.80000000000001
Afghanistan,AFG,1973,111.9
Afghanistan,AFG,1974,119.2
Afghanistan,AFG,1975,119.30000000000001
Afghanistan,AFG,1976,119
Afghanistan,AFG,1977,122
Afghanistan,AFG,1978,120.30000000000001
Afghanistan,AFG,1979,120.30000000000001
Afghanistan,AFG,1980,119.60000000000001
Afghanistan,AFG,1981,121.4
Afghanistan,AFG,1982,123.2
Afghanistan,AFG,1983,123.60000000000001
Afghanistan,AFG,1984,124.80000000000001
Afghanistan,AFG,1985,125.9
Afghanistan,AFG,1986,127.10000000000001
Afghanistan,AFG,1987,127.30000000000001
Afghanistan,AFG,1988,126.80000000000001
Afghanistan,AFG,1989,126.80000000000001
Afghanistan,AFG,1990,180
Afghanistan,AFG,1991,180
Afghanistan,AFG,1992,180
Afghanistan,AFG,1993,180
Afghanistan,AFG,1994,180
Afghanistan,AFG,1995,180.10000000000002
Afghanistan,AFG,1996,180.10000000000002
Afghanistan,AFG,1997,180.10000000000002
Afghanistan,AFG,1998,180
Afghanistan,AFG,1999,180
Afghanistan,AFG,2000,180
Afghanistan,AFG,2001,180
Afghanistan,AFG,2002,180.10000000000002
Afghanistan,AFG,2003,180
Afghanistan,AFG,2004,180.10000000000002
Afghanistan,AFG,2005,180
Afghanistan,AFG,2006,180
Afghanistan,AFG,2007,180
Afghanistan,AFG,2008,180
Afghanistan,AFG,2009,180
Afghanistan,AFG,2010,180
Afghanistan,AFG,2011,180
Afghanistan,AFG,2012,180.10000000000002
Afghanistan,AFG,2013,180
Afghanistan,AFG,2014,180
Afghanistan,AFG,2015,180
Afghanistan,AFG,2016,180
Afghanistan,AFG,2017,180
Afghanistan,AFG,2018,180
Africa,,1961,141.9
Africa,,1962,141.3
Africa,,1963,145
Africa,,1964,145.9
Africa,,1965,146.6
Africa,,1966,143.8
Africa,,1967,142.4
Africa,,1968,141.6
Africa,,1969,144.20000000000002
Africa,,1970,144.4
Africa,,1971,144
Africa,,1972,144.8
Africa,,1973,143.1
Africa,,1974,143.9
Africa,,1975,145.6
Africa,,1976,146.9
Africa,,1977,146.70000000000002
Africa,,1978,147
Africa,,1979,148.20000000000002
Africa,,1980,147.8
Africa,,1981,149.8
Africa,,1982,151
Africa,,1983,150.1
Africa,,1984,150.8
Africa,,1985,151.9
Africa,,1986,143.3
Africa,,1987,145.3
Africa,,1988,143.20000000000002
Africa,,1989,145.6
Africa,,1990,143.9
Africa,,1991,149.8
Africa,,1992,150.70000000000002
Africa,,1993,146.9
Africa,,1994,142.1
Africa,,1995,142
Africa,,1996,140.3
Africa,,1997,153.4
Africa,,1998,140.8
Africa,,1999,141.9
Africa,,2000,140.9
Africa,,2001,147.5
Africa,,2002,151
Africa,,2003,153.20000000000002
Africa,,2004,154
Africa,,2005,156.10000000000002
Africa,,2006,158.20000000000002
Africa,,2007,159.8
Africa,,2008,158.4
Africa,,2009,159.20000000000002
Africa,,2010,159.70000000000002
Africa,,2011,156.9
Africa,,2012,152.3
Africa,,2013,154.9
Africa,,2014,154.8
Africa,,2015,154.5
Africa,,2016,155.60000000000002
Africa,,2017,153
Africa,,2018,152.70000000000002
Albania,ALB,1961,82.2
Albania,ALB,1962,81.30000000000001
Albania,ALB,1963,82.60000000000001
Albania,ALB,1964,81.10000000000001
Albania,ALB,1965,82.5
Albania,ALB,1966,82.10000000000001
Albania,ALB,1967,82.5
Albania,ALB,1968,82.2
Albania,ALB,1969,82.4
Albania,ALB,1970,82.5
Albania,ALB,1971,82.30000000000001
Albania,ALB,1972,82.2
Albania,ALB,1973,82.5
Albania,ALB,1974,82.60000000000001
Albania,ALB,1975,82.5
Albania,ALB,1976,82.5
Albania,ALB,1977,82.4
Albania,ALB,1978,82.80000000000001
Albania,ALB,1979,82.60000000000001
Albania,ALB,1980,82.80000000000001
Albania,ALB,1981,81.9
Albania,ALB,1982,81.5
Albania,ALB,1983,81.4
Albania,ALB,1984,80.7
Albania,ALB,1985,80.9
Albania,ALB,1986,81.10000000000001
Albania,ALB,1987,91.7
Albania,ALB,1988,101.10000000000001
Albania,ALB,1989,99
Albania,ALB,1990,120.9
Albania,ALB,1991,111.10000000000001
Albania,ALB,1992,111.4
Albania,ALB,1993,105.7
Albania,ALB,1994,108.80000000000001
Albania,ALB,1995,110
Albania,ALB,1996,103.5
Albania,ALB,1997,108.30000000000001
Albania,ALB,1998,105.30000000000001
Albania,ALB,1999,105.30000000000001
Albania,ALB,2000,105.60000000000001
Albania,ALB,2001,105.10000000000001
Albania,ALB,2002,105.10000000000001
Albania,ALB,2003,111.10000000000001
Albania,ALB,2004,111.5
Albania,ALB,2005,114.9
Albania,ALB,2006,115.80000000000001
Albania,ALB,2007,113.10000000000001
Albania,ALB,2008,110
Albania,ALB,2009,110.2
Albania,ALB,2010,110.30000000000001
Albania,ALB,2011,110
